Price,Short average,Long average,Positions
10554.2,10577.539999999999,10600.086,0
10554.4,10574.789999999999,10599.166,0
10554.8,10572.039999999999,10598.246,0
10555.6,10569.289999999999,10597.324,0
10556.5,10566.57,10596.408,0
10543.2,10563.869999999999,10595.49,0
10543.5,10561.01,10594.34,0
10543.8,10558.16,10593.19,0
10544.3,10555.31,10592.038,0
10545.1,10552.43,10590.884,0
10541.7,10549.54,10589.73,0
10541.9,10548.29,10588.49,0
10542.2,10547.04,10587.248,0
10542.8,10545.78,10586.002,0
10543.6,10544.5,10584.756,0
10539.2,10543.21,10583.508,0
10539.4,10542.81,10582.138,0
10539.7,10542.4,10580.766,0
10540.5,10541.99,10579.392,0
10541.3,10541.61,10578.02,0
10532.7,10541.23,10576.646,0
10533.0,10540.33,10575.006,0
10533.3,10539.44,10573.366,0
10534.1,10538.55,10571.722,0
10534.8,10537.68,10570.082,0
10525.7,10536.8,10568.44,0
10525.9,10535.45,10566.87,0
10526.2,10534.1,10565.3,0
10527.0,10532.75,10563.728,0
10527.8,10531.4,10562.16,0
10532.7,10530.05,10560.588,0
10532.9,10530.05,10559.038,0
10533.2,10530.04,10557.486,0
10533.9,10530.03,10555.934,0
10534.8,10530.01,10554.382,0
10532.2,10530.01,10552.828,0
10532.4,10530.66,10551.528,0
10532.7,10531.31,10550.228,0
10533.3,10531.96,10548.923999999999,0
10534.1,10532.59,10547.62,0
10543.2,10533.22,10546.316,0
10543.5,10534.27,10545.546,0
10543.8,10535.33,10544.778,0
10544.5,10536.39,10544.008,0
10545.5,10537.45,10543.242,0
10538.2,10538.52,10542.482,0
10538.4,10539.12,10541.81,0
10538.9,10539.72,10541.138,0
10539.5,10540.34,10540.47,0
10540.2,10540.96,10539.798,1
10549.7,10541.57,10539.122,0
10549.9,10542.22,10539.032,0
10550.3,10542.86,10538.942000000001,0
10551.0,10543.51,10538.852,0
10551.9,10544.16,10538.76,0
10546.7,10544.8,10538.668,0
10547.0,10545.65,10538.738,0
10547.5,10546.51,10538.808,0
10548.3,10547.37,10538.882,0
10549.2,10548.25,10538.962,0
10539.2,10549.15,10539.044,0
10539.5,10548.1,10538.994,0
10539.9,10547.06,10538.946,0
10540.5,10546.02,10538.9,0
10541.5,10544.97,10538.854,0
10531.8,10543.93,10538.812,0
10532.0,10542.44,10538.664,0
10532.3,10540.94,10538.516,0
10532.9,10539.42,10538.368,0
10533.7,10537.88,10538.216,-1
10542.7,10536.33,10538.064,0
10543.0,10536.68,10538.264,0
10543.4,10537.03,10538.464,0
10544.0,10537.38,10538.666,0
10544.9,10537.73,10538.864,0
10527.7,10538.07,10539.066,0
10527.9,10537.66,10539.106,0
10528.2,10537.25,10539.146,0
10528.7,10536.84,10539.186,0
10529.5,10536.42,10539.22,0
10523.7,10536.0,10539.254,0
10523.9,10534.1,10539.074,0
10524.2,10532.19,10538.894,0
10524.9,10530.27,10538.714,0
10525.8,10528.36,10538.534,0
10523.2,10526.45,10538.354,0
10523.5,10526.0,10538.174,0
10524.0,10525.56,10537.996,0
10524.8,10525.14,10537.822,0
10525.5,10524.75,10537.652,0
10528.7,10524.35,10537.48,0
10528.9,10524.85,10537.19,0
10529.3,10525.35,10536.898,0
10530.1,10525.86,10536.608,0
10530.8,10526.38,10536.32,0
10527.2,10526.88,10536.026,0
10527.5,10527.28,10535.806,0
10527.8,10527.68,10535.588,0
10528.4,10528.06,10535.366,0
10529.3,10528.42,10535.144,0
10519.2,10528.8,10534.926,0
10519.5,10527.85,10534.316,0
10520.0,10526.91,10533.708,0
10520.7,10525.98,10533.102,0
10521.6,10525.04,10532.496,0
10517.7,10524.12,10531.89,0
10518.1,10523.17,10531.31,0
10518.4,10522.23,10530.732,0
10519.2,10521.29,10530.15,0
10520.4,10520.37,10529.568,0
10515.3,10519.48,10528.992,0
10515.5,10519.09,10528.514,0
10515.9,10518.69,10528.034,0
10516.6,10518.28,10527.554,0
10517.5,10517.87,10527.076000000001,0
10507.2,10517.46,10526.596,0
10507.4,10516.41,10526.104,0
10507.7,10515.34,10525.612,0
10508.2,10514.27,10525.12,0
10508.9,10513.17,10524.626,0
10503.2,10512.02,10524.13,0
10503.5,10510.81,10523.34,0
10503.8,10509.61,10522.55,0
10504.3,10508.4,10521.758,0
10505.3,10507.17,10520.964,0
10494.2,10505.95,10520.172,0
10494.4,10504.65,10519.502,0
10494.8,10503.35,10518.832,0
10495.5,10502.06,10518.164,0
10496.4,10500.789999999999,10517.5,0
10485.2,10499.539999999999,10516.838,0
10485.5,10497.74,10516.068,0
10485.9,10495.94,10515.3,0
10486.6,10494.15,10514.534,0
10487.4,10492.38,10513.768,0
10486.2,10490.59,10513.0,0
10486.4,10489.79,10512.26,0
10486.7,10488.99,10511.518,0
10487.5,10488.18,10510.772,0
10488.2,10487.380000000001,10510.026,0
10475.7,10486.56,10509.28,0
10476.0,10485.61,10508.22,0
10476.3,10484.66,10507.162,0
10476.9,10483.7,10506.102,0
10477.6,10482.73,10505.038,0
10478.2,10481.75,10503.974,0
10478.5,10480.95,10502.994,0
10478.8,10480.16,10502.014,0
