Price,Short average,Long average,Positions
1.0836,1.084214,1.0844268,0
1.0836,1.084122,1.0844072,0
1.08362,1.084028,1.0843871999999999,0
1.0837,1.083933,1.0843672,0
1.08377,1.08384,1.0843472,0
1.08321,1.083746,1.0843266,0
1.08322,1.083692,1.0842994,0
1.08324,1.083636,1.0842718,0
1.08331,1.08358,1.084244,0
1.0834,1.083523,1.084216,0
1.0834,1.083467,1.084188,0
1.08341,1.083447,1.0841669999999999,0
1.08343,1.083428,1.0841458,0
1.0835,1.083409,1.0841243999999999,0
1.08357,1.083389,1.0841034,0
1.08336,1.083369,1.0840818,0
1.08337,1.083384,1.084062,0
1.0834,1.083399,1.084042,0
1.08347,1.083415,1.084022,0
1.08355,1.083431,1.084002,0
1.08335,1.083446,1.083982,0
1.08337,1.0834409999999999,1.083964,0
1.0834,1.083437,1.0839462,0
1.08345,1.083434,1.0839282,0
1.08353,1.083429,1.08391,0
1.08341,1.083425,1.0838918,0
1.08342,1.08343,1.0838766,0
1.08344,1.083435,1.0838614,0
1.08352,1.083439,1.083846,0
1.08362,1.083444,1.0838304,0
1.08377,1.083451,1.0838152,0
1.08378,1.083493,1.0838054,0
1.08381,1.083534,1.0837956,0
1.08387,1.083575,1.0837858,0
1.08395,1.083617,1.0837762,0
1.08394,1.083659,1.0837664,0
1.08395,1.083712,1.0837532,0
1.08398,1.0837649999999999,1.0837398,1
1.08404,1.0838189999999999,1.0837265999999999,0
1.08412,1.083871,1.0837134,0
1.08417,1.083921,1.0836998,0
1.0842,1.083961,1.0836928,0
1.08421,1.084003,1.083686,0
1.08428,1.0840429999999999,1.0836788,0
1.08437,1.084084,1.0836718,0
1.08407,1.084126,1.0836649999999999,0
1.08408,1.084139,1.0836714,0
1.08411,1.084152,1.0836774,0
1.0842,1.084165,1.0836836,0
1.08427,1.084181,1.08369,0
1.0841,1.084196,1.0836961999999999,0
1.08411,1.084189,1.0837062,0
1.08414,1.08418,1.0837164,0
1.08422,1.084173,1.0837268,0
1.0843,1.084167,1.0837372,0
1.0843,1.08416,1.0837478,0
1.08431,1.084183,1.0837695999999999,0
1.08433,1.084206,1.0837914,0
1.0844,1.084228,1.0838132,0
1.0845,1.084248,1.0838349999999999,0
1.08408,1.084271,1.083857,0
1.0841,1.084269,1.0838706,0
1.08412,1.084268,1.0838844,0
1.0842,1.084266,1.0838982,0
1.08428,1.0842640000000001,1.0839121999999999,0
1.08416,1.084262,1.0839264,0
1.08418,1.084248,1.0839424,0
1.0842,1.084235,1.0839585999999999,0
1.08426,1.084222,1.0839746,0
1.08434,1.084208,1.0839904,0
1.08415,1.084192,1.0840062,0
1.08416,1.084199,1.0840222,0
1.0842,1.084205,1.084038,0
1.08427,1.084213,1.084054,0
1.08435,1.08422,1.0840704,0
1.08415,1.084227,1.0840868,0
1.08417,1.084226,1.0841015999999999,0
1.0842,1.084225,1.0841166,0
1.08426,1.084225,1.0841318,0
1.08435,1.084225,1.0841466,0
1.08425,1.084226,1.0841612,0
1.08428,1.084236,1.0841708,0
1.0843,1.084248,1.0841808,0
1.08437,1.084258,1.0841906,0
1.08447,1.084268,1.0842006,0
1.08428,1.08428,1.084211,0
1.08431,1.084293,1.0842178,0
1.08434,1.084307,1.084225,0
1.08441,1.084321,1.0842322,0
1.0845,1.084336,1.0842396,0
1.0843,1.084351,1.0842472,0
1.0843,1.084356,1.0842498,0
1.08433,1.084358,1.0842518,0
1.08441,1.0843610000000001,1.0842542,0
1.0845,1.084365,1.0842568,0
1.08404,1.084368,1.0842594,0
1.08406,1.084344,1.0842588,0
1.0841,1.084319,1.0842584,0
1.08415,1.084295,1.0842582,0
1.08425,1.084269,1.0842572,0
1.08387,1.084244,1.0842568,-1
1.0839,1.084201,1.0842522,0
1.08393,1.084161,1.084248,0
1.08401,1.0841210000000001,1.0842438,0
1.08411,1.084081,1.0842396,0
1.08397,1.084042,1.0842358,0
1.084,1.084035,1.0842292,0
1.08401,1.084029,1.084223,0
1.08408,1.08402,1.0842166,0
1.08416,1.084013,1.0842102,0
1.08411,1.084004,1.0842034,0
1.08412,1.084028,1.084204,0
1.08414,1.08405,1.0842044,0
1.08422,1.084071,1.0842048,0
1.0843,1.084092,1.0842052,0
1.08406,1.084111,1.0842056,0
1.08408,1.08412,1.0842036,0
1.08411,1.084128,1.0842016,0
1.08418,1.084138,1.0841998,0
1.08428,1.084148,1.0841982,0
1.0839,1.08416,1.084197,0
1.08391,1.084139,1.084192,0
1.08393,1.084118,1.084187,0
1.084,1.0840969999999999,1.0841816,0
1.0841,1.084075,1.0841762,0
1.08395,1.084055,1.0841712000000001,0
1.08398,1.084044,1.0841672,0
1.08401,1.084034,1.0841634,0
1.08408,1.0840239999999999,1.0841596,0
1.08416,1.084014,1.084156,0
1.08395,1.084002,1.0841522,0
1.08397,1.084007,1.0841462,0
1.084,1.0840130000000001,1.08414,0
1.08408,1.08402,1.084134,0
1.08418,1.084028,1.0841282,0
1.0839,1.084036,1.0841224,0
1.08392,1.084031,1.0841148,0
1.08394,1.084025,1.084107,0
1.08402,1.084018,1.084099,0
1.08411,1.084012,1.0840912,0
1.08374,1.084007,1.0840834,0
1.08375,1.083986,1.0840722,0
1.08377,1.083964,1.0840612,0
1.08385,1.083941,1.08405,0
1.08395,1.083918,1.0840388,0
1.08383,1.083895,1.0840277999999999,0
1.08385,1.083888,1.0840236,0
1.08387,1.0838809999999999,1.0840194,0
1.08394,1.083874,1.0840148,0
1.08403,1.083866,1.0840106,0
1.08418,1.083858,1.0840062,0
1.0842,1.083902,1.0840124,0
1.08421,1.083947,1.0840184,0
1.08427,1.083991,1.0840239999999999,0
1.08435,1.084033,1.0840292,1
1.084,1.084073,1.084034,0
1.08403,1.08409,1.0840346,0
1.08406,1.084108,1.0840352,0
1.08414,1.084127,1.0840362,0
1.08422,1.084147,1.0840374,0
1.08398,1.084166,1.0840386,0
1.084,1.084146,1.084036,0
1.08402,1.084126,1.0840336,0
1.0841,1.084107,1.0840312,0
1.08417,1.08409,1.0840288,0
1.08398,1.084072,1.0840262,0
1.084,1.08407,1.0840246,0
1.08402,1.0840670000000001,1.084023,0
1.08408,1.084063,1.0840212,0
1.08418,1.084057,1.0840192,0
1.08381,1.084053,1.0840172,0
1.08383,1.084036,1.0840154,0
1.08385,1.084019,1.0840138,0
1.08391,1.084002,1.0840122,-1
1.084,1.083983,1.0840104,0
1.08382,1.083966,1.0840084,0
1.08385,1.08395,1.0840058,0
1.08387,1.0839349999999999,1.0840032,0
1.08394,1.08392,1.0840004,0
1.08404,1.083906,1.0839976,0
1.08365,1.083892,1.0839952,0
1.08368,1.083876,1.0839892,0
1.08371,1.083861,1.0839834,0
1.08378,1.083847,1.0839775999999999,0
1.08387,1.083834,1.0839716,0
1.08353,1.083821,1.0839654,0
1.08355,1.0837919999999999,1.083958,0
1.08357,1.083762,1.0839505999999999,0
1.08365,1.083732,1.0839432,0
1.08375,1.0837029999999999,1.0839358,0
1.0837,1.083674,1.0839286,0
1.08373,1.083679,1.0839277999999999,0
1.08375,1.083684,1.0839274,0
1.08383,1.083688,1.083927,0
1.08393,1.083693,1.0839266,0
1.08376,1.083699,1.0839262,0
1.08377,1.083722,1.0839248,0
1.0838,1.083744,1.0839232,0
1.08385,1.083767,1.0839218,0
1.08393,1.083787,1.08392,0
1.08385,1.0838050000000001,1.083918,0
1.08386,1.08382,1.0839114,0
