Price,Short average,Long average,Positions
107.054,107.048,107.05464,0
107.056,107.05,107.05486,0
107.059,107.05199999999999,107.05506,0
107.065,107.0538,107.05522,0
107.075,107.0553,107.05532,0
107.072,107.0572,107.05542,1
107.074,107.0599,107.0561,0
107.08,107.0623,107.0568,0
107.082,107.06530000000001,107.05754,0
107.092,107.068,107.05818000000001,0
107.06,107.0709,107.05884,0
107.061,107.0715,107.059,0
107.064,107.072,107.05916,0
107.071,107.0725,107.05924,0
107.081,107.0731,107.05938,0
107.045,107.0737,107.05952,0
107.048,107.071,107.05956,0
107.051,107.0684,107.05962,0
107.056,107.0655,107.05964,0
107.065,107.0629,107.05956,0
107.046,107.0602,107.05946,0
107.048,107.0588,107.05902,-1
107.052,107.0575,107.0586,0
107.058,107.05630000000001,107.05816,0
107.066,107.055,107.0577,0
107.03,107.0535,107.05722,0
107.031,107.052,107.05672,0
107.036,107.05030000000001,107.05622,0
107.043,107.0488,107.05576,0
107.053,107.0475,107.05532,0
106.981,107.0463,107.0549,0
106.984,107.0398,107.0535,0
106.988,107.0334,107.05214,0
106.993,107.027,107.0508,0
107.002,107.0205,107.04946,0
106.979,107.0141,107.0481,0
106.982,107.009,107.04706,0
106.985,107.0041,107.04602,0
106.991,106.999,107.04492,0
106.999,106.9938,107.04386,0
106.988,106.9884,107.04276,0
106.99,106.9891,107.04184,0
106.993,106.9897,107.04092,0
106.999,106.9902,107.03996,0
107.008,106.9908,107.03894,0
106.99,106.9914,107.03798,0
106.991,106.99249999999999,107.03688,0
106.996,106.9934,107.0357,0
107.003,106.9945,107.03462,0
107.012,106.9957,107.03358,0
106.991,106.997,107.03256,0
106.994,106.9973,107.0313,0
106.999,106.9977,107.03006,0
107.005,106.9983,107.02886,0
107.013,106.99889999999999,107.02766,0
106.989,106.9994,107.02642,0
106.991,106.9993,107.02476,0
106.994,106.9993,107.0231,0
106.999,106.9991,107.02138,0
107.008,106.9987,107.01972,0
106.983,106.9983,107.01804,0
106.986,106.9975,107.0165,0
106.99,106.9967,107.015,0
106.995,106.9958,107.01352,0
107.004,106.9948,107.012,0
106.968,106.9939,107.01046,0
106.97,106.9918,107.00892,0
106.974,106.9897,107.00736,0
106.979,106.9877,107.00582,0
106.988,106.98570000000001,107.00428,0
106.971,106.9837,107.00274,0
106.974,106.9825,107.00124,0
106.979,106.9813,106.99976,0
106.986,106.9802,106.9983,0
106.996,106.9793,106.99686,0
106.97,106.9785,106.99546,0
106.972,106.9787,106.99426,0
106.98,106.9789,106.99307999999999,0
106.983,106.9795,106.99196,0
106.991,106.9799,106.99076,0
106.953,106.9802,106.98952,0
106.956,106.9784,106.98896,0
106.96,106.9766,106.9884,0
106.965,106.9747,106.98784,0
106.974,106.9726,106.98728,0
106.938,106.9704,106.98672,0
106.941,106.9672,106.9859,0
106.945,106.9641,106.98508,0
106.951,106.9606,106.98428,0
106.96,106.9574,106.98348,0
106.933,106.9543,106.9827,0
106.934,106.9523,106.9816,0
106.939,106.95009999999999,106.98048,0
106.946,106.948,106.9794,0
106.955,106.9461,106.97834,0
106.941,106.9442,106.97728,0
106.943,106.9445,106.9763,0
106.946,106.9447,106.97534,0
106.952,106.9448,106.97434,0
106.961,106.9449,106.97332,0
106.94,106.945,106.9723,0
106.939,106.9457,106.97128,0
106.944,106.9462,106.97018,0
106.951,106.94669999999999,106.96908,0
106.961,106.9472,106.968,0
106.951,106.9478,106.96696,0
106.954,106.94879999999999,106.9662,0
106.96,106.9499,106.96546,0
106.964,106.9513,106.96478,0
106.972,106.9525,106.96408,0
106.935,106.9536,106.96336,0
106.936,106.95309999999999,106.9624,0
106.939,106.9528,106.9614,0
106.945,106.9523,106.96038,0
106.953,106.9517,106.95938,0
106.95,106.95089999999999,106.95836,0
106.948,106.9508,106.958,0
106.952,106.9502,106.95756,0
106.959,106.9494,106.95712,0
106.968,106.9489,106.95672,0
106.936,106.9485,106.95632,0
106.939,106.9486,106.95562,0
106.942,106.9489,106.95492,0
106.95,106.9492,106.95418,0
106.955,106.9497,106.95345999999999,0
106.936,106.9499,106.95264,0
106.94,106.9485,106.95196,0
106.94,106.9477,106.95132,0
106.945,106.9465,106.95052,0
106.953,106.9451,106.94976,0
106.934,106.9436,106.949,0
106.935,106.9434,106.94862,0
106.94,106.943,106.9482,0
106.945,106.9428,106.9478,0
106.955,106.9423,106.9474,0
106.923,106.9423,106.94702,0
106.926,106.941,106.94672,0
106.929,106.9396,106.94642,0
106.936,106.9385,106.9461,0
106.945,106.9376,106.9458,0
106.934,106.9368,106.9455,0
106.94,106.9368,106.94552,0
106.942,106.9373,106.94564,0
106.95,106.9375,106.9457,0
106.955,106.938,106.94578,0
106.912,106.938,106.94578,0
106.914,106.9369,106.9452,0
106.92,106.9357,106.94462,0
106.924,106.9348,106.94409999999999,0
106.932,106.9336,106.94354,0
106.902,106.9323,106.94296,0
106.904,106.9291,106.9422,0
106.91,106.9255,106.9415,0
106.912,106.9223,106.94082,0
106.921,106.9185,106.94004,0
106.915,106.9151,106.93924,0
106.92,106.9154,106.93852,0
106.92,106.916,106.93784,0
106.925,106.916,106.93704,0
106.935,106.9161,106.93626,0
106.898,106.9164,106.93552,0
106.901,106.916,106.93478,0
106.904,106.9157,106.93408,0
106.91,106.9151,106.93338,0
106.92,106.9149,106.93268,0
106.895,106.9148,106.93202,0
106.898,106.9128,106.93092,0
106.903,106.9106,106.92992,0
106.909,106.9089,106.92894,0
106.918,106.90729999999999,106.92794,0
106.92,106.90559999999999,106.92694,0
106.923,106.9078,106.92662,0
106.93,106.91,106.9263,0
106.933,106.9126,106.92606,0
106.943,106.9149,106.92572,0
106.924,106.91720000000001,106.92548000000001,0
106.925,106.9201,106.92524,0
106.93,106.92280000000001,106.92494,0
106.936,106.9255,106.92474,1
106.944,106.9282,106.92456,0
106.934,106.9308,106.92438,0
106.936,106.93220000000001,106.92438,0
106.941,106.93350000000001,106.9244,0
106.946,106.9346,106.92442,0
106.954,106.9359,106.92444,0
106.928,106.937,106.92442,0
106.931,106.9374,106.92452,0
106.934,106.938,106.92462,0
106.94,106.9384,106.92472000000001,0
106.949,106.9388,106.9248,0
106.924,106.9393,106.92488,0
106.93,106.9383,106.92468,0
106.932,106.9377,106.92448,0
106.939,106.9368,106.92428,0
106.949,106.9361,106.92406,0
106.943,106.9356,106.92394,0
106.944,106.9371,106.92456,0
106.949,106.9384,106.92516,0
106.956,106.9399,106.92574,0
106.965,106.9415,106.92638,0
106.956,106.9431,106.92704,0
106.959,106.94630000000001,106.92812,0
106.962,106.9492,106.92922,0
106.969,106.9522,106.93026,0
106.979,106.9552,106.9314,0
106.964,106.9582,106.93256,0
106.97,106.9603,106.93354,0
106.971,106.9629,106.93454,0
106.98,106.9651,106.93556,0
106.986,106.9675,106.93666,0
106.948,106.9696,106.93768,0
106.95,106.9688,106.93868,0
106.954,106.9679,106.93966,0
106.961,106.9671,106.94066,0
106.97,106.9663,106.94168,0
106.959,106.9654,106.94268,0
106.962,106.9649,106.94396,0
106.97,106.9641,106.94524,0
106.972,106.964,106.94658,0
106.98,106.9632,106.94784,0
106.964,106.9626,106.94908,0
106.97,106.9642,106.94996,0
106.97,106.9662,106.9509,0
106.98,106.9678,106.9517,0
106.985,106.9697,106.95264,0
106.946,106.9712,106.95348,0
106.949,106.9699,106.95392,0
106.952,106.9686,106.9544,0
106.958,106.9668,106.95484,0
106.97,106.9654,106.95528,0
