Price,Short average,Long average,Positions
10834.2,0,0,1
10834.5,0,0,0
10835.0,0,0,0
10835.8,0,0,0
10836.5,0,0,0
10834.2,0,0,0
10834.5,0,0,0
10835.0,0,0,0
10835.8,0,0,0
10836.5,0,0,0
10833.7,10834.36,0,0
10833.9,10834.51,0,0
10834.4,10834.67,0,0
10835.1,10834.83,0,-1
10835.8,10835.01,0,0
10833.2,10835.16,0,0
10833.4,10834.96,0,0
10833.8,10834.75,0,0
10834.4,10834.53,0,0
10835.2,10834.32,0,0
10832.2,10834.09,0,0
10832.5,10833.94,0,0
10833.0,10833.79,0,0
10833.7,10833.65,0,0
10834.5,10833.49,0,0
10832.2,10833.36,0,0
10832.5,10833.41,0,0
10833.0,10833.46,0,0
10833.7,10833.51,0,0
10834.5,10833.56,0,0
10832.2,10833.61,0,0
10832.5,10833.61,0,0
10833.0,10833.6,0,0
10833.7,10833.58,0,0
10834.5,10833.55,0,0
10832.2,10833.51,0,0
10832.4,10833.36,0,0
10832.8,10833.2,0,0
10833.4,10833.04,0,0
10834.4,10832.89,0,0
10832.7,10832.710000000001,0,0
10832.9,10832.310000000001,0,0
10833.2,10831.91,0,0
10833.8,10831.52,0,0
10834.8,10831.130000000001,0,0
10834.2,10830.73,0,0
10834.6,10830.630000000001,0,0
10835.0,10830.56,0,0
10835.6,10830.49,0,0
10836.8,10830.44,0,0
10834.2,10830.43,10834.028,0
10834.5,10830.380000000001,10834.028,0
10834.8,10830.33,10834.028,0
10835.6,10830.29,10834.024,0
10836.3,10830.27,10834.02,0
10832.2,10830.27,10834.016,0
10832.5,10830.07,10833.976,0
10832.8,10829.85,10833.936,0
10833.5,10829.630000000001,10833.892,0
10834.5,10829.380000000001,10833.846,0
10832.7,10829.11,10833.806,0
10833.0,10829.11,10833.786,0
10833.4,10829.12,10833.768,0
10834.0,10829.12,10833.748,0
10835.0,10829.130000000001,10833.726,0
10832.7,10829.14,10833.710000000001,0
10833.0,10828.99,10833.7,0
10833.3,10828.84,10833.692000000001,0
10834.0,10828.710000000001,10833.682,0
10835.0,10828.56,10833.674,0
10832.7,10828.41,10833.67,0
10832.9,10828.31,10833.68,0
10833.2,10828.210000000001,10833.688,0
10833.7,10828.12,10833.692000000001,0
10834.6,10828.01,10833.692000000001,0
10831.2,10827.87,10833.694,0
10831.4,10827.97,10833.674,0
10831.7,10828.07,10833.652,0
10832.5,10828.16,10833.626,0
10833.2,10828.27,10833.602,0
10828.7,10828.37,10833.576000000001,0
10828.9,10828.28,10833.506,0
10829.3,10828.18,10833.434,0
