Price,Short average,Long average,Positions
5989.3,0,0,0
5989.8,0,0,0
5990.4,0,0,0
5990.9,0,0,0
5992.1,0,0,0
5990.3,0,0,0
5991.0,0,0,0
5991.3,0,0,0
5991.8,0,0,0
5993.0,0,0,0
5989.3,5989.95,0,0
5989.8,5989.85,0,0
5990.5,5989.72,0,0
5991.2,5989.63,0,0
5992.1,5989.55,0,0
5988.8,5989.51,0,0
5989.3,5989.51,0,0
5989.8,5989.52,0,0
5991.0,5989.53,0,0
5991.3,5989.53,0,0
5988.3,5989.5199999999995,0,0
5988.8,5989.47,0,0
5989.4,5989.42,0,0
5989.8,5989.36,0,0
5990.7,5989.26,0,0
5988.3,5989.16,0,0
5989.0,5989.11,0,0
5989.3,5989.04,0,0
5989.7,5989.0,0,0
5990.5,5988.91,0,0
5988.3,5988.83,0,0
5988.8,5988.78,0,0
5989.4,5988.73,0,0
5990.1,5988.68,0,0
5990.8,5988.65,0,0
5989.3,5988.56,0,0
5990.0,5988.36,0,0
5990.1,5988.16,0,0
5990.9,5987.96,0,0
5991.9,5987.78,0,0
5989.3,5987.6,0,0
5990.0,5987.5,0,0
5990.3,5987.41,0,0
5991.0,5987.32,0,0
5991.8,5987.2300000000005,0,0
5988.3,5987.2,0,0
5988.7,5987.25,0,0
5989.3,5987.32,0,0
5990.0,5987.37,0,0
5990.8,5987.47,0,0
5988.3,5987.59,5990.118,0
5988.7,5987.54,5990.098,0
5989.4,5987.48,5990.076,0
5990.2,5987.42,5990.0560000000005,0
5991.4,5987.36,5990.042,0
5988.3,5987.26,5990.028,0
5988.8,5987.21,5989.988,0
5989.4,5987.14,5989.944,0
5990.0,5987.06,5989.906,0
5990.7,5986.96,5989.87,0
5987.8,5986.88,5989.824,0
5988.2,5986.88,5989.794,0
5988.8,5986.88,5989.762,0
5989.2,5986.88,5989.728,0
5990.4,5986.89,5989.688,0
5987.8,5986.88,5989.654,0
5988.1,5986.88,5989.634,0
5989.0,5986.89,5989.61,0
5989.1,5986.9,5989.594,0
5989.9,5986.89,5989.556,0
5987.3,5986.82,5989.528,0
5987.7,5986.82,5989.508,0
5988.3,5986.83,5989.486,0
5988.9,5986.83,5989.464,0
5989.5,5986.81,5989.446,0
5985.8,5986.81,5989.422,0
5986.1,5986.76,5989.372,0
5987.0,5986.74,5989.314,0
5987.3,5986.68,5989.268,0
5988.1,5986.66,5989.22,0
5986.3,5986.68,5989.1720000000005,0
5986.8,5986.63,5989.132,1
5987.4,5986.58,5989.092,0
5988.0,5986.54,5989.052,0
5989.2,5986.51,5989.01,0
5986.3,5986.51,5988.978,0
5986.8,5986.61,5988.918,0
5987.5,5986.71,5988.854,0
5988.3,5986.8,5988.802,0
5989.3,5986.88,5988.75,0
5985.8,5986.96,5988.698,0
5986.2,5987.06,5988.628,0
5986.8,5987.15,5988.552,0
5987.4,5987.2300000000005,5988.482,0
5988.2,5987.33,5988.41,0
5985.8,5987.4,5988.338,0
5986.1,5987.4,5988.2880000000005,0
5986.7,5987.37,5988.236,0
5987.3,5987.38,5988.184,0
5988.5,5987.4,5988.13,0
5985.8,5987.42,5988.084,0
5986.2,5987.37,5988.034,0
5986.8,5987.31,5987.984,0
5987.5,5987.29,5987.932,0
5988.1,5987.21,5987.878,0
5985.8,5987.17,5987.812,0
5986.2,5987.17,5987.762,0
5986.8,5987.18,5987.71,0
5987.2,5987.21,5987.658,0
5987.8,5987.24,5987.602,0
5985.8,5987.27,5987.544,0
5986.3,5987.32,5987.504,0
5986.8,5987.41,5987.466,0
5987.3,5987.42,5987.426,0
5988.1,5987.49,5987.388,0
5985.3,5987.53,5987.342,0
5986.0,5987.58,5987.292,0
5986.2,5987.63,5987.25,0
5987.0,5987.68,5987.194,0
5988.0,5987.7300000000005,5987.152,0
5985.3,5987.79,5987.1140000000005,0
5985.8,5987.79,5987.0740000000005,0
5986.4,5987.79,5987.036,0
5987.0,5987.81,5986.9980000000005,0
5988.1,5987.83,5986.96,-1
5986.3,5987.83,5986.932,0
5987.0,5987.78,5986.942,0
5987.1,5987.75,5986.96,0
